bn_instance,strategy,beta,sample_size,num_samples,is_cpdag,skeleton_TP,skeleton_FP,skeleton_FN,skeleton_SHD,TP,FP,FN,SHD,directed_precision,directed_recall,directed_F1,num_reversed,reversed_edges,num_undirected,undirected_edges,learned_edges_count,true_edges_count
bn_N24_E35_01,hierarchy_ess1,,10000,10000,False,23,0,12,12,18,5,17,17,0.782608695652174,0.5142857142857142,0.6206896551724138,5,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V19', 'V21')]",0,[],23,35
bn_N24_E35_01,hierarchy_ess1,,200,200,False,2,11,33,44,0,13,35,46,0.0,0.0,0.0,2,"[('V2', 'V3'), ('V4', 'V22')]",0,[],13,35
bn_N24_E35_01,hierarchy_ess1,,2000,2000,False,11,1,24,25,8,4,27,28,0.6666666666666666,0.22857142857142856,0.3404255319148936,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],12,35
bn_N24_E35_01,hierarchy_ess1,,500,500,False,4,5,31,36,4,5,31,36,0.4444444444444444,0.11428571428571428,0.1818181818181818,0,[],0,[],9,35
bn_N24_E35_01,hierarchy_ess1,,5000,5000,False,14,0,21,21,11,3,24,24,0.7857142857142857,0.3142857142857143,0.44897959183673464,3,"[('V10', 'V20'), ('V15', 'V17'), ('V4', 'V22')]",0,[],14,35
bn_N24_E35_01,hierarchy_ess10,,1000,1000,False,10,7,25,32,9,8,26,33,0.5294117647058824,0.2571428571428571,0.34615384615384615,1,"[('V15', 'V17')]",0,[],17,35
bn_N24_E35_01,hierarchy_ess10,,10000,10000,False,30,0,5,5,23,7,12,12,0.7666666666666667,0.6571428571428571,0.7076923076923077,7,"[('V18', 'V20'), ('V5', 'V10'), ('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23')]",0,[],30,35
bn_N24_E35_01,hierarchy_ess10,,200,200,False,11,26,24,50,9,28,26,52,0.24324324324324326,0.2571428571428571,0.25,2,"[('V16', 'V24'), ('V4', 'V22')]",0,[],37,35
bn_N24_E35_01,hierarchy_ess10,,2000,2000,False,17,6,18,24,14,9,21,27,0.6086956521739131,0.4,0.48275862068965525,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],23,35
bn_N24_E35_01,hierarchy_ess10,,500,500,False,9,17,26,43,7,19,28,45,0.2692307692307692,0.2,0.22950819672131148,2,"[('V5', 'V10'), ('V4', 'V5')]",0,[],26,35
bn_N24_E35_01,hierarchy_ess10,,5000,5000,False,19,3,16,19,15,7,20,23,0.6818181818181818,0.42857142857142855,0.5263157894736843,4,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V19', 'V21')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,1000,1000,False,10,5,25,30,9,6,26,31,0.6,0.2571428571428571,0.36,1,"[('V15', 'V17')]",0,[],15,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,10000,10000,False,30,0,5,5,23,7,12,12,0.7666666666666667,0.6571428571428571,0.7076923076923077,7,"[('V18', 'V20'), ('V5', 'V10'), ('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23')]",0,[],30,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,200,200,False,10,26,25,51,9,27,26,52,0.25,0.2571428571428571,0.2535211267605634,1,"[('V16', 'V24')]",0,[],36,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,2000,2000,False,17,5,18,23,14,8,21,26,0.6363636363636364,0.4,0.4912280701754386,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,500,500,False,9,12,26,38,7,14,28,40,0.3333333333333333,0.2,0.25,2,"[('V5', 'V10'), ('V4', 'V5')]",0,[],21,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d1,,5000,5000,False,19,3,16,19,15,7,20,23,0.6818181818181818,0.42857142857142855,0.5263157894736843,4,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V19', 'V21')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,1000,1000,False,10,5,25,30,9,6,26,31,0.6,0.2571428571428571,0.36,1,"[('V15', 'V17')]",0,[],15,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,10000,10000,False,30,0,5,5,23,7,12,12,0.7666666666666667,0.6571428571428571,0.7076923076923077,7,"[('V18', 'V20'), ('V5', 'V10'), ('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23')]",0,[],30,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,200,200,False,10,22,25,47,9,23,26,48,0.28125,0.2571428571428571,0.26865671641791045,1,"[('V16', 'V24')]",0,[],32,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,2000,2000,False,17,5,18,23,14,8,21,26,0.6363636363636364,0.4,0.4912280701754386,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,500,500,False,9,12,26,38,7,14,28,40,0.3333333333333333,0.2,0.25,2,"[('V5', 'V10'), ('V4', 'V5')]",0,[],21,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d2,,5000,5000,False,19,3,16,19,15,7,20,23,0.6818181818181818,0.42857142857142855,0.5263157894736843,4,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V19', 'V21')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,1000,1000,False,10,5,25,30,9,6,26,31,0.6,0.2571428571428571,0.36,1,"[('V15', 'V17')]",0,[],15,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,10000,10000,False,30,0,5,5,23,7,12,12,0.7666666666666667,0.6571428571428571,0.7076923076923077,7,"[('V18', 'V20'), ('V5', 'V10'), ('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23')]",0,[],30,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,200,200,False,10,22,25,47,9,23,26,48,0.28125,0.2571428571428571,0.26865671641791045,1,"[('V16', 'V24')]",0,[],32,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,2000,2000,False,17,5,18,23,14,8,21,26,0.6363636363636364,0.4,0.4912280701754386,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,500,500,False,9,12,26,38,7,14,28,40,0.3333333333333333,0.2,0.25,2,"[('V5', 'V10'), ('V4', 'V5')]",0,[],21,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d3,,5000,5000,False,19,3,16,19,15,7,20,23,0.6818181818181818,0.42857142857142855,0.5263157894736843,4,"[('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V19', 'V21')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d4,,1000,1000,False,10,5,25,30,9,6,26,31,0.6,0.2571428571428571,0.36,1,"[('V15', 'V17')]",0,[],15,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d4,,10000,10000,False,30,0,5,5,23,7,12,12,0.7666666666666667,0.6571428571428571,0.7076923076923077,7,"[('V18', 'V20'), ('V5', 'V10'), ('V10', 'V20'), ('V15', 'V17'), ('V2', 'V3'), ('V4', 'V5'), ('V20', 'V23')]",0,[],30,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d4,,200,200,False,10,21,25,46,9,22,26,47,0.2903225806451613,0.2571428571428571,0.27272727272727276,1,"[('V16', 'V24')]",0,[],31,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d4,,2000,2000,False,17,5,18,23,14,8,21,26,0.6363636363636364,0.4,0.4912280701754386,3,"[('V10', 'V20'), ('V4', 'V22'), ('V4', 'V5')]",0,[],22,35
bn_N24_E35_01,hierarchy_monotonic_after_ess10_alpha0d4,,500,500,False,9,12,26,38,7,14,28,40,0.3333333333333333,0.2,0.25,2,"[('V5', 'V10'), ('V4', 'V5')]",0,[],21,35
